lga_code_2025,lga_name_2025,state_code_2021,state_name_2021,mesh_block_count,area_albers_sqkm
89799,Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory,1,0.0
89499,No usual address (ACT),8,Australian Capital Territory,1,0.0
89399,Unincorporated ACT,8,Australian Capital Territory,6660,2358.133
10050,Albury,1,New South Wales,870,305.6386
10180,Armidale,1,New South Wales,608,7809.4406
10250,Ballina,1,New South Wales,727,484.9692
10300,Balranald,1,New South Wales,81,21690.7493
10470,Bathurst,1,New South Wales,641,3817.8645
10500,Bayside (NSW),1,New South Wales,1893,50.6204
10550,Bega Valley,1,New South Wales,1007,6278.5013
10600,Bellingen,1,New South Wales,441,1600.4338
10650,Berrigan,1,New South Wales,209,2065.8878
10750,Blacktown,1,New South Wales,3769,238.8471
10800,Bland,1,New South Wales,155,8557.6536
10850,Blayney,1,New South Wales,124,1524.647
10900,Blue Mountains,1,New South Wales,1263,1431.1442
10950,Bogan,1,New South Wales,107,14599.8996
11150,Bourke,1,New South Wales,90,41598.3722
11200,Brewarrina,1,New South Wales,44,19162.0296
11250,Broken Hill,1,New South Wales,316,170.1153
11300,Burwood,1,New South Wales,454,7.1282
11350,Byron,1,New South Wales,631,565.8027
11400,Cabonne,1,New South Wales,275,6022.3496
11450,Camden,1,New South Wales,1142,201.5278
11500,Campbelltown (NSW),1,New South Wales,1990,311.4117
11520,Canada Bay,1,New South Wales,976,19.9239
11570,Canterbury-Bankstown,1,New South Wales,3927,110.2374
11600,Carrathool,1,New South Wales,136,18934.4853
11650,Central Coast (NSW),1,New South Wales,5434,1681.0059
11700,Central Darling,1,New South Wales,160,53492.193
11720,Cessnock,1,New South Wales,890,1965.1593
11730,Clarence Valley,1,New South Wales,1234,10428.6804
11750,Cobar,1,New South Wales,146,45575.3512
11800,Coffs Harbour,1,New South Wales,1439,1173.7435
12000,Coolamon,1,New South Wales,102,2430.9037
12150,Coonamble,1,New South Wales,98,9916.0535
12160,Cootamundra-Gundagai,1,New South Wales,237,3981.4172
12350,Cowra,1,New South Wales,268,2808.7821
