sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gccsa_code_2021,gccsa_name_2021,state_code_2021,state_name_2021,area_albers_sqkm,asgs_loci_uri_2021
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3418.3525,http://linked.data.gov.au/dataset/asgsed3/SA2/101021007
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9824999999999999,http://linked.data.gov.au/dataset/asgsed3/SA2/101021008
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.7619999999999996,http://linked.data.gov.au/dataset/asgsed3/SA2/101021009
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.0032,http://linked.data.gov.au/dataset/asgsed3/SA2/101021010
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.674799999999999,http://linked.data.gov.au/dataset/asgsed3/SA2/101021012
101021610,Googong,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9164000000000003,http://linked.data.gov.au/dataset/asgsed3/SA2/101021610
101021611,Queanbeyan Surrounds,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3047.7057,http://linked.data.gov.au/dataset/asgsed3/SA2/101021611
101031013,Bombala,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3990.1439999999998,http://linked.data.gov.au/dataset/asgsed3/SA2/101031013
101031014,Cooma,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,103.6371,http://linked.data.gov.au/dataset/asgsed3/SA2/101031014
101031015,Cooma Surrounds,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6251.0158000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101031015
101031016,Jindabyne - Berridale,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3939.7887999999998,http://linked.data.gov.au/dataset/asgsed3/SA2/101031016
101041017,Batemans Bay,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,63.707299999999996,http://linked.data.gov.au/dataset/asgsed3/SA2/101041017
101041018,Batemans Bay - South,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,30.594799999999999,http://linked.data.gov.au/dataset/asgsed3/SA2/101041018
101041019,Bega - Tathra,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,183.89840000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041019
101041020,Bega-Eden Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4709.8265000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041020
101041021,Broulee - Tomakin,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,24.232900000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041021
101041022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,2781.9987999999998,http://linked.data.gov.au/dataset/asgsed3/SA2/101041022
101041023,Eden,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,94.813800000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041023
101041024,Eurobodalla Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,1460.0118,http://linked.data.gov.au/dataset/asgsed3/SA2/101041024
